Id_Cliente,Nome Cliente,Estado,Codigo_IBGE,Id_Transportador,Nome Transportador,Nota Fiscal,Qtd Volumes,Valor Nota Fiscal,Prazo Contratado,Data Expedição,Data Entrega,Ocorrência de Entrega,Prazo Entrega,On Time,In Full
361,Ana Júlia Pires,Amapá,16,5,Costa,1764,40,2497.72,13,2023-02-15,2023-02-28,Entrega com Avaria,13,On Time,Avaria
362,Gabrielly Rodrigues,Rio de Janeiro,33,5,Costa,2073,39,3851.35,34,2023-09-26,2023-10-02,Sem Ocorrência,6,On Time,In Full
364,Rebeca Dias,Rondônia,11,5,Costa,2351,41,2867.99,5,2023-04-29,2023-05-12,Entrega com Avaria,13,Late Time,Avaria
369,Clara Azevedo,Bahia,29,5,Costa,565,48,2628.0,5,2023-08-26,2023-09-04,Entrega com Avaria,9,Late Time,Avaria
369,Clara Azevedo,Bahia,29,5,Costa,1793,47,3341.19,13,2023-07-09,2023-07-26,Entrega com Avaria,17,Late Time,Avaria
370,Benício Cardoso,Paraíba,25,5,Costa,1573,48,4546.0,5,2023-10-06,2023-10-25,Entrega com Avaria,19,Late Time,Avaria
372,Luiz Miguel Dias,Amapá,16,5,Costa,309,1,2606.02,2,2023-01-30,2023-02-16,Sem Ocorrência,17,Late Time,Avaria
375,Renan Novaes,Roraima,14,5,Costa,213,32,625.92,32,2023-06-11,2023-06-17,Entrega com Avaria,6,On Time,Avaria
380,Laura Carvalho,Amapá,16,5,Costa,1622,25,4821.27,21,2023-01-21,2023-01-28,Sem Ocorrência,7,On Time,In Full
383,Ana Lívia Oliveira,Piauí,22,5,Costa,388,38,1974.8,5,2023-05-24,2023-05-30,Entrega com Avaria,6,Late Time,Avaria
391,Dr. Emanuel Lima,Rio Grande do Sul,43,5,Costa,1142,16,376.63,18,2023-09-15,2023-10-11,Sem Ocorrência,26,Late Time,Avaria
392,Mirella Costela,Minas Gerais,31,5,Costa,957,41,4209.64,5,2023-04-12,2023-04-18,Entrega com Avaria,6,Late Time,Avaria
393,Sr. Vitor Gabriel da Luz,Goiás,52,5,Costa,2427,15,4876.39,20,2023-08-19,2023-09-04,Entrega com Avaria,16,On Time,Avaria
398,Vitória Cunha,Amazonas,13,5,Costa,2108,19,1813.78,40,2023-11-16,2023-11-25,Entrega com Avaria,9,On Time,Avaria
400,Dr. Luiz Otávio Correia,Roraima,14,5,Costa,951,30,3346.61,36,2023-04-07,2023-04-22,Entrega com Avaria,15,On Time,Avaria
403,Dra. Bárbara Peixoto,Roraima,14,5,Costa,314,5,2863.92,1,2023-10-03,2023-10-07,Entrega com Avaria,4,Late Time,Avaria
408,Daniel Peixoto,Paraíba,25,5,Costa,1130,12,1266.73,19,2023-12-03,2023-12-19,Entrega com Avaria,16,On Time,Avaria
411,Srta. Rebeca Rodrigues,Paraíba,25,5,Costa,1277,4,1251.87,11,2023-01-10,2023-01-28,Sem Ocorrência,18,Late Time,Avaria
411,Srta. Rebeca Rodrigues,Paraíba,25,5,Costa,1790,18,3789.39,6,2023-03-17,2023-03-20,Entrega com Avaria,3,On Time,Avaria
412,Clarice Pereira,Espírito Santo,32,5,Costa,2326,42,1272.36,11,2023-01-10,2023-01-18,Sem Ocorrência,8,On Time,In Full
414,Bianca Araújo,Amazonas,13,5,Costa,620,4,2888.17,1,2023-07-10,2023-07-29,Sem Ocorrência,19,Late Time,Avaria
417,Milena Araújo,Rio Grande do Norte,24,5,Costa,1209,14,3767.74,8,2023-08-26,2023-09-09,Sem Ocorrência,14,Late Time,Avaria
417,Milena Araújo,Rio Grande do Norte,24,5,Costa,1625,24,1223.22,6,2023-08-11,2023-08-23,Sem Ocorrência,12,Late Time,Avaria
426,Sra. Sarah Aragão,Roraima,14,5,Costa,173,51,2885.05,25,2023-12-10,2023-12-11,Entrega com Avaria,1,On Time,Avaria
428,Alana Campos,Mato Grosso do Sul,50,5,Costa,2418,44,2323.24,19,2023-08-03,2023-08-13,Entrega com Avaria,10,On Time,Avaria
432,Erick Gonçalves,Ceará,23,5,Costa,1534,20,2291.6,33,2023-10-21,2023-10-26,Entrega com Avaria,5,On Time,Avaria
439,Dr. Enrico da Conceição,Bahia,29,5,Costa,221,24,264.47,40,2023-08-11,2023-09-06,Sem Ocorrência,26,On Time,In Full
441,Davi Gonçalves,Sergipe,28,5,Costa,56,10,1891.19,26,2023-10-10,2023-11-04,Entrega com Avaria,25,On Time,Avaria
443,Marcelo das Neves,Bahia,29,5,Costa,1742,32,1980.05,3,2023-04-28,2023-05-14,Sem Ocorrência,16,Late Time,Avaria
445,João Felipe Moraes,Paraná,41,5,Costa,1708,45,2208.01,40,2023-08-15,2023-08-18,Entrega com Avaria,3,On Time,Avaria
448,Letícia Azevedo,Espírito Santo,32,5,Costa,2229,27,4831.82,8,2023-05-15,2023-06-13,Entrega com Avaria,29,Late Time,Avaria
451,Sr. Vinicius das Neves,Amapá,16,5,Costa,997,26,1006.63,35,2023-10-19,2023-10-23,Entrega com Avaria,4,On Time,Avaria
455,Gabriela Duarte,Goiás,52,5,Costa,1747,11,2070.82,30,2023-10-17,2023-10-26,Entrega com Avaria,9,On Time,Avaria
458,Isis Nogueira,Rio de Janeiro,33,5,Costa,1365,32,4820.24,19,2023-08-16,2023-09-11,Sem Ocorrência,26,Late Time,Avaria
461,Yasmin da Conceição,Pernambuco,26,5,Costa,276,43,3037.42,13,2023-09-06,2023-09-30,Entrega com Avaria,24,Late Time,Avaria
462,Dra. Ana Vitória Martins,Mato Grosso,51,5,Costa,1296,8,4190.54,34,2023-09-01,2023-09-23,Sem Ocorrência,22,On Time,In Full
467,Felipe Melo,Santa Catarina,42,5,Costa,2221,25,1793.62,15,2023-09-03,2023-09-19,Entrega com Avaria,16,Late Time,Avaria
471,Srta. Alice Dias,Goiás,52,5,Costa,843,42,511.36,40,2023-05-20,2023-06-11,Sem Ocorrência,22,On Time,In Full
472,Maria Eduarda Mendes,Rio de Janeiro,33,5,Costa,1422,43,1023.43,36,2023-07-10,2023-07-18,Sem Ocorrência,8,On Time,In Full
476,Clarice Gonçalves,Paraná,41,5,Costa,901,29,2754.28,40,2023-10-29,2023-11-13,Sem Ocorrência,15,On Time,In Full
476,Clarice Gonçalves,Paraná,41,5,Costa,1646,4,3381.14,40,2023-06-02,2023-06-04,Entrega com Avaria,2,On Time,Avaria
477,Maria Clara Ribeiro,Amapá,16,5,Costa,296,3,1982.59,2,2023-09-03,2023-09-28,Entrega com Avaria,25,Late Time,Avaria
478,Juliana da Cunha,Alagoas,27,5,Costa,940,35,3545.37,19,2023-02-22,2023-03-17,Sem Ocorrência,23,Late Time,Avaria
479,Manuela Martins,Ceará,23,5,Costa,186,14,2591.34,35,2023-07-27,2023-08-06,Entrega com Avaria,10,On Time,Avaria
480,Sr. Davi Lucas Peixoto,Rio Grande do Norte,24,5,Costa,145,48,2696.62,40,2023-06-22,2023-07-20,Sem Ocorrência,28,On Time,In Full
493,Carolina Moura,Rondônia,11,5,Costa,2392,29,1029.39,39,2023-03-05,2023-03-23,Entrega com Avaria,18,On Time,Avaria
495,Eduardo Campos,Tocantins,17,5,Costa,865,44,3707.23,4,2023-12-12,2023-12-23,Sem Ocorrência,11,Late Time,Avaria
497,Alice Farias,Amapá,16,5,Costa,521,35,3370.2,38,2023-10-22,2023-11-13,Sem Ocorrência,22,On Time,In Full
497,Alice Farias,Amapá,16,5,Costa,1765,7,2815.96,23,2023-08-28,2023-09-05,Sem Ocorrência,8,On Time,In Full
1,Luana da Luz,Piauí,22,7,Teixeira,2079,22,2914.53,17,2023-03-29,2023-04-18,Sem Ocorrência,20,Late Time,Avaria
4,Igor Martins,Rio de Janeiro,33,7,Teixeira,736,20,2375.5,9,2023-10-13,2023-10-27,Entrega com Avaria,14,Late Time,Avaria
6,Luiz Felipe Freitas,Pará,15,7,Teixeira,918,28,895.15,14,2023-10-19,2023-11-14,Sem Ocorrência,26,Late Time,Avaria
7,Dr. Nathan Costela,Mato Grosso,51,7,Teixeira,982,32,2306.53,33,2023-07-14,2023-07-20,Entrega com Avaria,6,On Time,Avaria
8,Leandro Aragão,Goiás,52,7,Teixeira,374,6,2649.28,29,2023-07-14,2023-08-12,Sem Ocorrência,29,On Time,In Full
9,Clara da Mota,Bahia,29,7,Teixeira,882,25,2789.33,35,2023-04-27,2023-05-17,Entrega com Avaria,20,On Time,Avaria
13,Sr. Luiz Felipe Campos,Rio Grande do Norte,24,7,Teixeira,2019,41,717.79,33,2023-01-22,2023-02-07,Sem Ocorrência,16,On Time,In Full
19,Diego da Cunha,Maranhão,21,7,Teixeira,1653,47,1243.82,12,2023-07-07,2023-07-17,Entrega com Avaria,10,On Time,Avaria
24,Luigi Fernandes,Distrito Federal,53,7,Teixeira,1464,35,2729.74,36,2023-11-12,2023-12-04,Sem Ocorrência,22,On Time,In Full
25,Mariane da Costa,Goiás,52,7,Teixeira,2037,47,2893.01,41,2023-05-07,2023-05-29,Entrega com Avaria,22,On Time,Avaria
30,Helena Santos,Amazonas,13,7,Teixeira,2466,21,3732.8,30,2023-08-05,2023-08-14,Sem Ocorrência,9,On Time,In Full
34,Calebe Martins,Bahia,29,7,Teixeira,438,7,2771.38,18,2023-12-27,2023-12-31,Entrega com Avaria,4,On Time,Avaria
35,Dra. Mariana Almeida,Amazonas,13,7,Teixeira,2482,2,3124.19,38,2023-01-01,2023-01-07,Sem Ocorrência,6,On Time,In Full
36,Esther Rocha,Bahia,29,7,Teixeira,2113,22,145.14,40,2023-02-06,2023-02-14,Entrega com Avaria,8,On Time,Avaria
36,Esther Rocha,Bahia,29,7,Teixeira,2342,25,2401.46,36,2023-11-02,2023-11-07,Entrega com Avaria,5,On Time,Avaria
38,Dra. Ana Beatriz da Cruz,Piauí,22,7,Teixeira,1348,5,3118.69,17,2023-10-11,2023-10-31,Entrega com Avaria,20,Late Time,Avaria
42,Yasmin Gonçalves,Rio Grande do Norte,24,7,Teixeira,194,18,3000.46,27,2023-07-20,2023-07-25,Entrega com Avaria,5,On Time,Avaria
47,Laura Freitas,Piauí,22,7,Teixeira,18,46,2409.13,28,2023-02-23,2023-02-27,Entrega com Avaria,4,On Time,Avaria
52,Guilherme Rocha,Minas Gerais,31,7,Teixeira,2432,23,4664.53,20,2023-04-15,2023-04-22,Entrega com Avaria,7,On Time,Avaria
55,Sra. Valentina Nunes,Tocantins,17,7,Teixeira,60,11,354.0,13,2023-11-06,2023-11-21,Entrega com Avaria,15,Late Time,Avaria
56,Gustavo Henrique da Luz,Santa Catarina,42,7,Teixeira,493,40,109.07,28,2023-06-10,2023-06-19,Sem Ocorrência,9,On Time,In Full
57,Lara Lopes,Goiás,52,7,Teixeira,9,10,1364.51,4,2023-02-26,2023-03-10,Sem Ocorrência,12,Late Time,Avaria
59,Ana Clara da Luz,Bahia,29,7,Teixeira,698,3,4463.74,27,2023-08-19,2023-09-08,Sem Ocorrência,20,On Time,In Full
64,Ana Carolina Cunha,Rio Grande do Norte,24,7,Teixeira,171,48,151.75,23,2023-12-18,2023-12-21,Entrega com Avaria,3,On Time,Avaria
72,Letícia Oliveira,Amazonas,13,7,Teixeira,1633,50,1453.11,31,2023-02-27,2023-03-11,Sem Ocorrência,12,On Time,In Full
74,Joana Souza,Amapá,16,7,Teixeira,1855,26,2348.27,18,2023-08-10,2023-08-18,Sem Ocorrência,8,On Time,In Full
78,Ana Júlia Vieira,Roraima,14,7,Teixeira,1043,42,2762.72,22,2023-10-07,2023-10-16,Entrega com Avaria,9,On Time,Avaria
80,Cauê Ramos,Ceará,23,7,Teixeira,224,24,3541.69,13,2023-06-27,2023-07-26,Entrega com Avaria,29,Late Time,Avaria
80,Cauê Ramos,Ceará,23,7,Teixeira,778,28,2187.62,19,2023-10-24,2023-11-15,Sem Ocorrência,22,Late Time,Avaria
83,Davi Luiz Costa,Rio Grande do Norte,24,7,Teixeira,1505,25,269.96,36,2023-09-10,2023-10-01,Entrega com Avaria,21,On Time,Avaria
93,Ana Vitória Castro,Pernambuco,26,7,Teixeira,586,9,2203.71,8,2023-01-14,2023-02-11,Entrega com Avaria,28,Late Time,Avaria
97,Joaquim Cavalcanti,São Paulo,35,7,Teixeira,1580,3,2602.23,40,2023-10-27,2023-11-01,Sem Ocorrência,5,On Time,In Full
101,Vitor Hugo Nascimento,Paraná,41,7,Teixeira,1412,10,3120.3,10,2023-12-22,2023-12-31,Sem Ocorrência,9,On Time,In Full
104,Maria Pinto,Rondônia,11,7,Teixeira,1487,1,1781.57,10,2023-04-11,2023-05-09,Sem Ocorrência,28,Late Time,Avaria
108,Davi Lucas Araújo,Rio de Janeiro,33,7,Teixeira,101,9,4147.26,18,2023-04-19,2023-05-12,Sem Ocorrência,23,Late Time,Avaria
108,Davi Lucas Araújo,Rio de Janeiro,33,7,Teixeira,484,46,52.26,23,2023-08-08,2023-08-24,Sem Ocorrência,16,On Time,In Full
111,Sabrina Alves,Paraíba,25,7,Teixeira,99,3,2685.07,18,2023-04-10,2023-05-09,Entrega com Avaria,29,Late Time,Avaria
116,Arthur Viana,Rio Grande do Sul,43,7,Teixeira,41,35,3754.91,33,2023-12-23,2023-12-27,Entrega com Avaria,4,On Time,Avaria
116,Arthur Viana,Rio Grande do Sul,43,7,Teixeira,348,17,912.28,38,2023-11-28,2023-12-22,Entrega com Avaria,24,On Time,Avaria
116,Arthur Viana,Rio Grande do Sul,43,7,Teixeira,2412,14,4175.97,14,2023-06-20,2023-07-02,Sem Ocorrência,12,On Time,In Full
118,Nicolas Ribeiro,Mato Grosso,51,7,Teixeira,643,16,221.09,40,2023-02-19,2023-03-03,Sem Ocorrência,12,On Time,In Full
124,João Vitor da Rocha,Rio Grande do Norte,24,7,Teixeira,319,10,1043.81,14,2023-06-02,2023-06-29,Sem Ocorrência,27,Late Time,Avaria
128,Enzo Costa,Alagoas,27,7,Teixeira,971,42,93.21,22,2023-03-30,2023-04-13,Entrega com Avaria,14,On Time,Avaria
128,Enzo Costa,Alagoas,27,7,Teixeira,1393,8,255.11,28,2023-05-29,2023-06-02,Entrega com Avaria,4,On Time,Avaria
129,Gabriela Freitas,Sergipe,28,7,Teixeira,265,2,4865.22,37,2023-01-14,2023-02-01,Entrega com Avaria,18,On Time,Avaria
129,Gabriela Freitas,Sergipe,28,7,Teixeira,1040,46,2881.73,26,2023-07-23,2023-08-15,Sem Ocorrência,23,On Time,In Full
131,Guilherme Mendes,Paraná,41,7,Teixeira,1342,13,3583.63,19,2023-05-21,2023-05-31,Entrega com Avaria,10,On Time,Avaria
132,Leandro Alves,Mato Grosso do Sul,50,7,Teixeira,2248,10,1550.79,15,2023-01-17,2023-02-04,Entrega com Avaria,18,Late Time,Avaria
133,Mariane Nunes,Amapá,16,7,Teixeira,913,30,1833.26,36,2023-06-01,2023-06-07,Entrega com Avaria,6,On Time,Avaria
134,Enzo Gabriel Pereira,Rio Grande do Sul,43,7,Teixeira,1406,20,65.37,37,2023-08-03,2023-08-07,Sem Ocorrência,4,On Time,In Full
